,0,1,2,3,4,5,6,7
252,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
253,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
254,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
255,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
256,-0.4,-0.03,-0.38,-0.13,-0.23,-0.42,-0.29,-0.44
257,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
258,-0.33,-0.03,-0.38,-0.13,-0.18,-0.42,-0.19,-0.35
259,-0.33,-0.03,-0.38,-0.13,-0.18,-0.42,-0.19,-0.35
260,-0.4,-0.03,-0.38,-0.13,-0.23,-0.42,-0.29,-0.44
261,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
262,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
263,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
264,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
265,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
266,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
267,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
268,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
269,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
270,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
271,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
272,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
273,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
274,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
275,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
276,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
277,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
278,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
279,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
280,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
281,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
282,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
283,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
284,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
285,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
286,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
287,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
288,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
289,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
290,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
291,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
292,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
293,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
294,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
295,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
296,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
297,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
298,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
299,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
300,-0.33,-0.03,-0.38,-0.13,-0.18,-0.42,-0.19,-0.35
301,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
302,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
303,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
304,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
305,6.56,-0.03,2.97,6.78,6.55,3.7,7.26,5.87
306,-0.25,-0.03,-0.38,-0.13,-0.14,-0.42,-0.09,-0.27
307,0.66,-0.03,3.72,-0.13,-0.3,1.73,-1.06,1.05
308,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
309,0.8,-0.03,1.24,-0.13,-0.28,2.07,0.03,0.89
310,0.8,-0.03,1.24,-0.13,-0.28,2.07,0.03,0.89
311,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
312,0.8,-0.03,1.24,-0.13,-0.28,2.07,0.03,0.89
313,0.74,-0.03,1.19,-0.13,-0.32,2.0,-0.05,0.82
314,0.74,-0.03,1.19,-0.13,-0.32,2.0,-0.05,0.82
315,0.74,-0.03,1.19,-0.13,-0.32,2.0,-0.05,0.82
316,0.87,-0.03,2.61,-0.13,-0.54,2.42,-1.06,0.69
317,0.3,-0.03,1.3,-0.13,-0.29,1.32,-0.11,0.94
318,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
319,2.49,-0.03,0.38,0.64,3.15,0.2,2.39,2.25
320,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
321,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
322,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
323,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
324,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
325,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
326,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
327,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
328,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
329,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
330,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
331,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
332,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
333,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
334,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
335,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
